City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
192,Lasa,IT,2020-09-01 15:30:16,46.62,10.7,63.0,54,20,9.17
193,Kalakamati,BW,2020-09-01 15:30:16,-20.59,27.31,59.0,82,90,17.22
194,Mareeba,AU,2020-09-01 15:30:17,-17.0,145.43,71.6,73,90,14.99
195,Revda,RU,2020-09-01 15:30:17,56.8,59.93,75.2,57,95,13.42
196,Jennings,US,2020-09-01 15:30:18,38.72,-90.26,75.2,69,90,8.05
197,Itoman,JP,2020-09-01 15:30:18,26.12,127.67,84.2,83,75,33.33
198,Chapais,CA,2020-09-01 15:25:53,49.78,-74.85,60.08,73,100,10.94
199,North Platte,US,2020-09-01 15:30:18,41.12,-100.77,66.0,67,1,10.38
200,Oostburg,US,2020-09-01 15:30:19,43.62,-87.79,69.8,56,1,3.29
201,Ribeira Grande,PT,2020-09-01 15:30:19,38.52,-28.7,75.2,73,40,8.05
202,Ust-Omchug,RU,2020-09-01 15:30:19,61.15,149.63,43.66,86,100,4.29
203,Mitsamiouli,KM,2020-09-01 15:30:20,-11.38,43.28,78.8,78,40,12.75
204,Peniche,PT,2020-09-01 15:30:21,39.36,-9.38,77.0,60,31,15.01
205,New Ulm,US,2020-09-01 15:30:21,44.31,-94.46,63.0,67,1,6.93
206,La Seyne-Sur-Mer,FR,2020-09-01 15:27:00,43.1,5.88,81.0,63,100,8.01
207,Conway,US,2020-09-01 15:29:39,35.09,-92.44,75.2,100,75,4.7
208,Hamilton,US,2020-09-01 15:30:07,39.18,-84.53,82.0,83,40,5.82
209,Kruisfontein,ZA,2020-09-01 15:30:22,-34.0,24.73,64.99,66,45,15.99
210,Sao Joao Da Barra,BR,2020-09-01 15:30:22,-21.64,-41.05,80.6,54,75,13.87
211,Hilo,US,2020-09-01 15:30:23,19.73,-155.09,73.4,88,75,4.7
212,Esik,KZ,2020-09-01 15:30:23,43.36,77.45,73.4,53,90,4.47
213,Bontang,ID,2020-09-01 15:25:59,0.13,117.5,77.63,86,61,4.74
214,Ulaangom,MN,2020-09-01 15:30:23,49.98,92.07,57.29,55,0,2.98
215,Hualmay,PE,2020-09-01 15:30:24,-11.1,-77.61,64.9,69,89,14.61
216,Mahebourg,MU,2020-09-01 15:30:24,-20.41,57.7,71.6,83,75,9.17
217,Kidal,ML,2020-09-01 15:30:24,18.44,1.41,95.27,33,26,11.12
218,Martapura,ID,2020-09-01 15:30:25,-3.42,114.85,78.8,88,75,1.12
219,Luganville,VU,2020-09-01 15:30:25,-15.53,167.17,77.0,83,75,3.36
220,Portland,US,2020-09-01 15:28:12,45.52,-122.68,63.0,72,20,3.36
221,Cururupu,BR,2020-09-01 15:30:25,-1.83,-44.87,89.47,47,39,6.73
222,Guerrero Negro,MX,2020-09-01 15:30:26,27.98,-114.06,73.74,66,100,7.67
223,Narsaq,GL,2020-09-01 15:30:26,60.92,-46.05,48.2,70,75,4.7
224,Talara,PE,2020-09-01 15:30:27,-4.58,-81.27,69.8,68,100,20.8
225,Den Helder,NL,2020-09-01 15:30:27,52.96,4.76,62.01,72,90,3.36
226,Saint-Joseph,RE,2020-09-01 15:30:28,-21.37,55.62,71.6,64,20,12.75
227,Honningsvag,NO,2020-09-01 15:30:28,70.98,25.97,50.0,66,75,9.17
228,Kholodnyy,RU,2020-09-01 15:30:29,62.72,147.95,43.68,89,100,3.29
229,Upernavik,GL,2020-09-01 15:30:29,72.79,-56.15,39.11,87,88,11.01
230,Uyuni,BO,2020-09-01 15:30:29,-20.46,-66.83,57.52,38,11,29.37
231,Kaniama,CD,2020-09-01 15:30:29,-7.57,24.18,76.33,63,56,2.89
232,Hobyo,SO,2020-09-01 15:30:29,5.35,48.53,78.94,78,15,29.19
233,Buraydah,SA,2020-09-01 15:26:15,26.33,43.98,104.0,16,40,5.82
234,Mount Gambier,AU,2020-09-01 15:30:30,-37.83,140.77,55.4,43,100,19.46
235,Lukovetskiy,RU,2020-09-01 15:30:30,64.3,41.92,55.4,76,20,6.71
236,Bahia Blanca,AR,2020-09-01 15:29:19,-38.72,-62.27,53.91,42,91,6.26
237,Pangody,RU,2020-09-01 15:30:31,65.85,74.49,48.58,79,84,12.06
238,Ancud,CL,2020-09-01 15:30:31,-41.87,-73.82,53.01,50,0,5.99
239,Qui Nhon,VN,2020-09-01 15:30:32,13.77,109.23,80.49,78,69,4.27
240,Nampula,MZ,2020-09-01 15:30:32,-15.12,39.27,84.0,42,20,12.75
241,Veinticinco De Mayo,AR,2020-09-01 15:30:32,-35.43,-60.17,50.0,61,100,7.0
242,Tocopilla,CL,2020-09-01 15:30:32,-22.09,-70.2,62.26,59,42,9.04
243,Manado,ID,2020-09-01 15:30:33,1.49,124.85,77.0,88,20,1.12
244,Bobo Dioulasso,BF,2020-09-01 15:30:33,11.18,-4.3,77.0,88,40,9.17
245,Goksun,TR,2020-09-01 15:30:33,38.02,36.5,102.2,14,20,9.17
246,Pisco,PE,2020-09-01 15:30:34,-13.7,-76.22,66.2,63,42,9.17
247,Chulman,RU,2020-09-01 15:30:34,56.85,124.91,45.86,92,80,4.59
248,Asyut,EG,2020-09-01 15:30:34,27.18,31.18,97.21,11,0,10.65
249,Esperance,AU,2020-09-01 15:30:35,-33.87,121.9,48.2,81,89,14.99
250,Sucua,EC,2020-09-01 15:30:35,-2.47,-78.17,64.4,93,90,3.36
251,Edson,CA,2020-09-01 15:30:36,53.58,-116.44,59.0,47,1,16.11
252,Salme,NP,2020-09-01 15:30:36,28.04,85.09,73.4,100,75,3.36
253,Bestobe,KZ,2020-09-01 15:30:36,52.5,73.1,69.57,72,82,2.15
254,Portobelo,PA,2020-09-01 15:30:37,9.55,-79.65,84.99,78,99,5.99
255,Colonia,DE,2020-09-01 15:30:37,50.93,6.95,68.0,87,40,4.7
256,Zaragoza,ES,2020-09-01 15:30:37,41.66,-0.88,82.99,21,100,6.93
257,Vao,NC,2020-09-01 15:30:38,-22.67,167.48,67.89,70,62,14.52
258,Lodwar,KE,2020-09-01 15:30:38,3.12,35.6,93.13,25,0,8.66
259,Kropotkin,RU,2020-09-01 15:30:39,45.44,40.58,82.72,40,0,9.62
260,Killybegs,IE,2020-09-01 15:30:39,54.63,-8.45,66.2,63,75,9.17
261,Makakilo City,US,2020-09-01 15:30:39,21.35,-158.09,78.8,69,1,4.7
262,Arraial Do Cabo,BR,2020-09-01 15:30:39,-22.97,-42.03,77.0,78,40,9.17
263,Yulara,AU,2020-09-01 15:30:40,-25.24,130.99,66.2,19,0,8.05
264,Nuuk,GL,2020-09-01 15:30:40,64.18,-51.72,50.0,71,40,9.17
265,Hella,NO,2020-09-01 15:30:40,67.2,14.43,59.0,72,39,4.7
266,Samarai,PG,2020-09-01 15:30:41,-10.62,150.67,77.36,88,97,15.55
267,Smithers,CA,2020-09-01 15:30:02,54.78,-127.17,50.0,87,75,3.36
268,Bilibino,RU,2020-09-01 15:30:41,68.05,166.44,32.88,93,89,4.12
269,Mariselu,RO,2020-09-01 15:30:42,47.02,24.52,79.0,57,40,9.17
270,Nioro,GM,2020-09-01 15:30:42,13.35,-15.75,82.24,83,95,10.13
271,Cap-Aux-Meules,CA,2020-09-01 15:30:42,47.38,-61.86,60.8,67,40,10.29
272,Fairbanks,US,2020-09-01 15:27:58,64.84,-147.72,48.2,93,90,1.45
273,Dali,CN,2020-09-01 15:27:25,25.7,100.18,62.76,79,2,3.65
274,Lazarev,RU,2020-09-01 15:30:43,52.23,141.51,60.57,95,100,15.28
275,Acapulco,MX,2020-09-01 15:30:43,16.86,-99.89,82.4,74,20,5.82
276,Malartic,CA,2020-09-01 15:29:42,48.13,-78.13,68.0,72,75,8.05
277,Meulaboh,ID,2020-09-01 15:30:43,4.14,96.13,76.98,87,100,6.22
278,Lebu,CL,2020-09-01 15:30:44,-37.62,-73.65,54.41,77,2,4.07
279,Boende,CD,2020-09-01 15:30:44,-0.22,20.87,74.21,94,100,2.73
280,Leningradskiy,RU,2020-09-01 15:30:44,69.38,178.42,36.64,95,100,4.74
281,Bilma,NE,2020-09-01 15:30:45,18.69,12.92,102.9,12,0,2.91
282,Hofn,IS,2020-09-01 15:30:45,64.25,-15.21,51.35,92,100,12.91
283,Weyburn,CA,2020-09-01 15:29:15,49.67,-103.85,66.0,40,92,27.0
284,Ornskoldsvik,SE,2020-09-01 15:30:45,63.29,18.72,60.8,59,0,9.17
285,Rawatbhata,IN,2020-09-01 15:30:46,24.93,75.58,78.62,85,72,9.53
286,Vila Franca Do Campo,PT,2020-09-01 15:30:46,37.72,-25.43,77.0,69,75,9.17
287,Lodja,CD,2020-09-01 15:30:46,-3.48,23.43,83.84,59,70,2.28
288,Chuzhou,CN,2020-09-01 15:30:46,32.32,118.3,77.0,93,0,1.01
289,Pankrushikha,RU,2020-09-01 15:30:47,53.83,80.34,60.55,82,25,6.06
290,Nome,US,2020-09-01 15:30:47,64.5,-165.41,45.0,75,90,8.05
291,Jadu,LY,2020-09-01 15:30:47,31.95,12.03,82.49,54,11,15.21
292,Sakakah,SA,2020-09-01 15:30:48,29.97,40.21,105.8,5,0,6.8
293,Ucluelet,CA,2020-09-01 15:28:29,48.93,-125.55,57.0,100,90,3.36
294,Calella,ES,2020-09-01 15:30:48,41.62,2.67,75.99,64,100,5.99
295,Seoul,KR,2020-09-01 15:28:16,37.57,126.98,77.0,94,90,4.7
296,Grand Gaube,MU,2020-09-01 15:30:49,-20.01,57.66,72.0,76,2,5.99
297,Aykhal,RU,2020-09-01 15:30:49,66.0,111.5,44.6,87,90,4.47
298,Ziyang,CN,2020-09-01 15:30:49,29.25,117.85,74.93,91,18,1.86
299,La Grande,US,2020-09-01 15:30:50,45.32,-118.09,53.01,66,1,4.52
300,Hambantota,LK,2020-09-01 15:30:50,6.12,81.12,78.8,100,90,4.7
301,Yashkino,RU,2020-09-01 15:30:51,55.87,85.43,57.2,100,21,8.95
302,Pascagoula,US,2020-09-01 15:26:28,30.37,-88.56,89.6,75,20,9.17
303,Vestmannaeyjar,IS,2020-09-01 15:30:51,63.44,-20.27,53.6,81,40,13.87
304,Bafoulabe,ML,2020-09-01 15:30:51,13.81,-10.83,77.47,91,98,5.3
305,Vrangel,RU,2020-09-01 15:30:52,42.73,133.08,63.28,90,27,7.18
306,Prince Rupert,CA,2020-09-01 15:29:01,54.32,-130.32,55.4,100,90,4.7
