City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
113,Kismayo,SO,77.92,clear sky,-0.36,42.55,Agan-Hotel
117,Kapaa,US,78.8,light rain,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
118,Anniston,US,82.99,clear sky,33.66,-85.83,Hotel Finial
124,Cockburn Town,TC,86.0,scattered clouds,21.46,-71.14,Osprey Beach Hotel
130,San Patricio,MX,82.4,broken clouds,19.22,-104.7,Hotel Cabo Blanco
134,Pekan,MY,80.6,few clouds,3.48,103.4,Pekan Budget Hotel
135,Saraiu,RO,87.8,overcast clouds,44.72,28.15,
136,Camacha,PT,77.0,few clouds,33.08,-16.33,Hotel Porto Santo & Spa
140,Manokwari,ID,80.42,overcast clouds,-0.87,134.08,Swiss Belhotel Manokwari
143,Katsuura,JP,84.0,overcast clouds,35.13,140.3,Katsuura Hotel Mikazuki
151,Saint George,US,75.99,clear sky,37.1,-113.58,Best Western Plus Abbey Inn
153,Conde,BR,78.8,broken clouds,-7.26,-34.91,Pousada Beija Flor
158,Kalianget,ID,81.68,broken clouds,-7.05,113.93,Pesanggrahan Garam
164,Victoria,HK,86.0,light rain,22.29,114.16,Mini Hotel Central
165,Mitsamiouli,KM,77.07,light rain,-11.38,43.28,Foyer ADM
167,Alexandria,EG,87.8,clear sky,31.22,29.96,Royal Crown Hotel
169,Tagusao,PH,81.14,broken clouds,9.19,117.81,"Shaman's Breath- Beach, Bed & Breakfast"
173,Butaritari,KI,83.03,overcast clouds,3.07,172.79,Isles Sunset Lodge
175,Bathsheba,BB,86.0,shower rain,13.22,-59.52,Atlantis Hotel
176,Porto Novo,BJ,84.2,scattered clouds,6.5,2.6,Tour Eiffel Hotel Benin
177,Metro,ID,76.05,overcast clouds,-5.11,105.31,OYO 3177 Wisma Lintang
178,Waingapu,ID,76.42,clear sky,-9.66,120.26,Pondok Wisata Elim
183,Tautira,PF,75.2,few clouds,-17.73,-149.15,Pension Oaoa
184,San Cristobal,VE,80.6,scattered clouds,7.77,-72.22,Pirineos
187,Arraial Do Cabo,BR,80.6,clear sky,-22.97,-42.03,Pousada Porto Praia
188,Alghero,IT,80.6,few clouds,40.56,8.32,Hotel Carlos V
191,Surt,LY,83.73,clear sky,31.21,16.59,City Hotel
192,Mana,GF,86.88,clear sky,5.66,-53.78,LE SAMANA
194,Karoi,ZW,81.64,scattered clouds,-16.81,29.69,Bliss Lodge Karoi
195,Dillon,US,88.0,clear sky,34.42,-79.37,Dillon Express Inn
197,Palu,ID,76.17,light rain,-0.89,119.87,Hotel Santika Palu
198,Olinda,BR,78.8,shower rain,-8.01,-34.86,Hotel 5 Sóis
202,Beibei,CN,75.2,overcast clouds,29.83,106.43,FX Hotel Chongqing at Beibei Southwest University
205,Majene,ID,78.6,overcast clouds,-3.54,118.97,Kost Putri RABBANI
206,Sorong,ID,79.0,light rain,-0.88,131.25,The Waigo Hotel
208,Mahon,ES,78.8,broken clouds,39.89,4.27,ARTIEM Capri
210,Inirida,CO,89.06,few clouds,3.87,-67.92,Fuente del Guania Hotel de Lujo
211,Cradock,ZA,75.25,clear sky,-32.16,25.62,Die Hoekhuis
212,Christiana,ZA,81.72,clear sky,-27.91,25.16,At-Neli Guesthouse
213,Korla,CN,82.33,overcast clouds,41.76,86.15,Gulisitan Hotel
217,Biak,ID,77.76,overcast clouds,-0.91,122.88,Kost Ariz
222,Meulaboh,ID,80.69,light rain,4.14,96.13,Kost Pria
224,Nijar,ES,87.8,few clouds,36.97,-2.21,La Casa del Cine
227,Faanui,PF,77.43,few clouds,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
229,Bacolod,PH,79.97,overcast clouds,10.67,122.95,Planta Hotel & Residences
232,Naranjal,EC,75.99,broken clouds,-2.67,-79.62,Media Naranja
237,Prichard,US,86.0,few clouds,30.74,-88.08,Best Inn Formerly Known as M Star Hotel
239,Pumiao,CN,86.0,light rain,22.75,108.48,Mushang Boutique Hotel
240,Champerico,GT,75.2,light intensity drizzle,14.3,-91.92,"Hotel y restaurante ""El Diamante"""
243,Hasaki,JP,80.6,broken clouds,35.73,140.83,Inubosaki Kanko Hotel
247,Guanica,PR,89.01,clear sky,17.97,-66.91,Copamarina Beach Resort & Spa
249,Kaspiysk,RU,77.0,overcast clouds,42.88,47.64,Alima Hostel
250,Kaka,TM,78.6,clear sky,37.35,59.61,
254,Florencia,IT,87.01,scattered clouds,43.77,11.25,Italiana Hotels Florence
264,Bull Savanna,JM,83.7,broken clouds,17.89,-77.59,Big Red's
269,Tamiahua,MX,84.51,moderate rain,21.27,-97.45,Mission Of The Sun Hotel
270,Naze,JP,80.6,light rain,28.37,129.48,奄美ポートタワーホテル
274,Salalah,OM,80.6,scattered clouds,17.02,54.09,HAMDAN PLAZA HOTEL
276,Kita,ML,78.93,light rain,13.03,-9.49,Hôtel Nelson Mandela
279,Vanimo,PG,80.06,overcast clouds,-2.67,141.3,Vahmoneh Lodge Vanimo
281,Myanaung,MM,81.16,light rain,18.28,95.32,Taung Hlay Khar
284,Bibiani,GH,79.32,light rain,6.46,-2.32,Rodick Hotel
285,Kavieng,PG,82.38,light rain,-2.57,150.8,Nusa Island Retreat
286,Malabo,GQ,82.4,broken clouds,3.75,8.78,Magno Suites
