City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind,Weather Description
175,Bathsheba,BB,13.22,-59.52,86.0,66,75,11.41,shower rain
176,Porto Novo,BJ,6.5,2.6,84.2,74,40,14.99,scattered clouds
177,Metro,ID,-5.11,105.31,76.05,90,98,2.77,overcast clouds
178,Waingapu,ID,-9.66,120.26,76.42,83,0,8.93,clear sky
179,Lompoc,US,34.64,-120.46,57.2,93,90,3.36,overcast clouds
180,Clyde River,CA,70.47,-68.59,42.8,81,75,8.05,broken clouds
181,Te Anau,NZ,-45.42,167.72,42.8,81,100,7.94,overcast clouds
182,Azangaro,PE,-14.92,-70.22,51.8,23,51,3.36,broken clouds
183,Tautira,PF,-17.73,-149.15,75.2,78,20,2.24,few clouds
184,San Cristobal,VE,7.77,-72.22,80.6,78,40,2.24,scattered clouds
185,Angoram,PG,-4.06,144.07,74.93,97,97,0.18,light rain
186,Upernavik,GL,72.79,-56.15,38.77,72,0,3.24,clear sky
187,Arraial Do Cabo,BR,-22.97,-42.03,80.6,54,0,16.11,clear sky
188,Alghero,IT,40.56,8.32,80.6,44,20,10.29,few clouds
189,Zhuanghe,CN,39.7,122.99,66.0,83,89,6.08,overcast clouds
190,Barrow,US,71.29,-156.79,35.6,93,90,16.11,mist
191,Surt,LY,31.21,16.59,83.73,72,0,20.67,clear sky
192,Mana,GF,5.66,-53.78,86.88,63,4,10.71,clear sky
193,Santa Fe,AR,-31.63,-60.7,57.0,68,74,1.99,moderate rain
194,Karoi,ZW,-16.81,29.69,81.64,22,25,5.35,scattered clouds
195,Dillon,US,34.42,-79.37,88.0,66,1,6.93,clear sky
196,Ilulissat,GL,69.22,-51.1,44.6,36,5,18.34,clear sky
197,Palu,ID,-0.89,119.87,76.17,81,100,1.99,light rain
198,Olinda,BR,-8.01,-34.86,78.8,78,75,13.87,shower rain
199,Ayan,RU,56.45,138.17,52.3,90,100,1.12,overcast clouds
200,Tyukhtet,RU,56.54,89.3,62.98,80,37,8.63,light rain
201,Coahuayana,MX,18.73,-103.68,73.4,78,40,1.52,scattered clouds
202,Beibei,CN,29.83,106.43,75.2,78,89,4.47,overcast clouds
203,Straumen,NO,63.87,11.3,68.0,40,3,16.11,clear sky
204,Kasongo-Lunda,CD,-6.47,16.82,90.77,38,92,3.49,overcast clouds
205,Majene,ID,-3.54,118.97,78.6,84,92,6.69,overcast clouds
206,Sorong,ID,-0.88,131.25,79.0,83,100,6.71,light rain
207,Margate,GB,51.38,1.39,71.01,80,94,7.0,overcast clouds
208,Mahon,ES,39.89,4.27,78.8,54,75,2.24,broken clouds
209,Fairbanks,US,64.84,-147.72,44.6,100,90,2.28,overcast clouds
210,Inirida,CO,3.87,-67.92,89.06,54,19,1.88,few clouds
211,Cradock,ZA,-32.16,25.62,75.25,17,0,5.35,clear sky
212,Christiana,ZA,-27.91,25.16,81.72,17,0,13.98,clear sky
213,Korla,CN,41.76,86.15,82.33,19,86,2.33,overcast clouds
214,Coquimbo,CL,-29.95,-71.34,55.4,76,20,4.7,few clouds
215,Cidreira,BR,-30.18,-50.21,62.28,78,100,14.85,overcast clouds
216,Severo-Yeniseyskiy,RU,60.37,93.04,53.01,99,100,5.66,moderate rain
217,Biak,ID,-0.91,122.88,77.76,80,100,8.52,overcast clouds
218,Safaga,EG,26.73,33.94,100.4,24,0,9.17,clear sky
219,Evensk,RU,61.95,159.23,43.02,66,0,8.84,clear sky
220,Zhongshu,CN,24.52,103.77,63.25,89,100,2.24,overcast clouds
221,Nouadhibou,MR,20.93,-17.03,91.4,59,24,11.41,few clouds
222,Meulaboh,ID,4.14,96.13,80.69,82,100,2.17,light rain
223,Fort Nelson,CA,58.81,-122.7,41.0,93,40,3.36,fog
224,Nijar,ES,36.97,-2.21,87.8,43,20,17.22,few clouds
225,Vardo,NO,70.37,31.11,62.6,51,73,16.11,broken clouds
226,Nelson,NZ,-41.28,173.28,45.0,84,0,4.36,clear sky
227,Faanui,PF,-16.48,-151.75,77.43,79,22,16.67,few clouds
228,Shumikha,RU,55.23,63.3,46.85,70,12,8.7,few clouds
229,Bacolod,PH,10.67,122.95,79.97,81,100,3.06,overcast clouds
230,Guerrero Negro,MX,27.98,-114.06,73.18,75,7,12.12,clear sky
231,Laguna,US,38.42,-121.42,61.0,87,1,3.36,clear sky
232,Naranjal,EC,-2.67,-79.62,75.99,73,75,6.93,broken clouds
233,La Palma,US,33.85,-118.05,66.99,82,90,4.45,overcast clouds
234,Saint-Philippe,RE,-21.36,55.77,73.4,68,75,16.24,broken clouds
235,Cherskiy,RU,68.75,161.3,33.08,93,7,7.49,clear sky
236,Adrar,MR,20.5,-10.07,104.65,15,37,12.53,scattered clouds
237,Prichard,US,30.74,-88.08,86.0,79,20,4.7,few clouds
238,Mokhsogollokh,RU,61.47,128.92,51.6,78,0,3.8,clear sky
239,Pumiao,CN,22.75,108.48,86.0,70,66,2.24,light rain
240,Champerico,GT,14.3,-91.92,75.2,94,75,4.45,light intensity drizzle
241,Monte Alegre,BR,-2.01,-54.07,91.81,45,70,6.51,broken clouds
242,Ponferrada,ES,42.55,-6.6,93.0,15,0,1.99,clear sky
243,Hasaki,JP,35.73,140.83,80.6,88,75,10.29,broken clouds
244,Leatherhead,GB,51.3,-0.33,71.01,77,75,14.99,broken clouds
245,Sao Lourenco Do Sul,BR,-31.37,-51.98,62.01,73,96,5.99,overcast clouds
246,Baykalsk,RU,51.51,104.15,57.0,73,0,2.95,clear sky
247,Guanica,PR,17.97,-66.91,89.01,57,0,4.0,clear sky
248,Teguldet,RU,57.31,88.17,60.03,96,58,6.44,broken clouds
249,Kaspiysk,RU,42.88,47.64,77.0,78,100,6.71,overcast clouds
250,Kaka,TM,37.35,59.61,78.6,17,0,4.47,clear sky
251,Fortuna,US,40.6,-124.16,57.0,93,90,0.85,overcast clouds
252,Zapolyarnyy,RU,69.42,30.81,64.4,42,24,26.4,few clouds
253,Okhotsk,RU,59.38,143.3,48.72,82,26,3.31,scattered clouds
